BOARD;CHANNEL;TIMETAG;ENERGY;CALIB_ENERGY;ENERGYSHORT;FLAGS
0;0;23033892000;107;75.022;18;0x0
0;0;77258948000;455;319.019;48;0x0
0;0;77259472000;51;35.7581;22;0x0
0;0;299792180000;175;122.7;22;0x0
0;0;487178108000;82;57.4935;12;0x0
0;0;503244896000;1800;1262.05;125;0x0
0;0;681646404000;363;254.514;33;0x0
0;0;717476512000;176;123.401;21;0x0
0;0;804540204000;243;170.377;30;0x0
0;0;872614820000;431;302.191;41;0x0
0;1;23033880000;613;649.474;60;0x0
0;1;77258948000;592;627.224;69;0x0
0;1;77259472000;104;110.188;43;0x0
0;1;299792176000;311;329.505;40;0x0
0;1;487178096000;217;229.912;22;0x0
0;1;503244920000;177;187.532;25;0x0
0;1;681646404000;311;329.505;35;0x0
0;1;717476520000;229;242.626;36;0x0
0;1;804540200000;557;590.142;55;0x0
0;1;872614828000;164;173.758;25;0x0
0;0;972036356000;51;35.7581;16;0x0
0;0;1091678120000;559;391.937;51;0x0
0;0;1117879704000;107;75.022;16;0x0
0;0;1176226512000;153;107.274;18;0x0
0;0;1323487724000;118;82.7345;18;0x0
0;0;1382689236000;459;321.823;40;0x0
0;0;1513510832000;162;113.585;22;0x0
0;0;1581022260000;64;44.873;17;0x0
0;0;1667804308000;348;243.997;35;0x0
0;0;1682474016000;508;356.179;43;0x0
0;1;972036284000;262;277.589;29;0x0
0;1;1091678132000;161;170.58;26;0x0
0;1;1117879696000;592;627.224;62;0x0
0;1;1176226504000;558;591.201;58;0x0
0;1;1323487708000;597;632.522;58;0x0
0;1;1382689248000;178;188.591;27;0x0
0;1;1513510828000;203;215.079;26;0x0
0;1;1581022208000;631;668.545;61;0x0
0;1;1667804308000;312;330.564;37;0x0
0;1;1682474024000;298;315.731;32;0x0
0;0;1704321376000;531;372.305;50;0x0
0;0;1788199064000;223;156.354;29;0x0
0;0;1798381456000;760;532.866;63;0x0
0;0;1915213828000;79;55.3901;12;0x0
0;0;1927354996000;132;92.5505;16;0x0
0;0;2032841512000;568;398.248;55;0x0
0;0;2073298444000;217;152.147;21;0x0
0;0;2073298996000;30;21.0342;16;0x0
0;0;2093005388000;129;90.4471;19;0x0
0;0;2148699284000;78;54.6889;13;0x0
0;1;1704321388000;100;105.95;19;0x0
0;1;1788199060000;500;529.75;50;0x0
0;1;1798381464000;170;180.115;23;0x0
0;1;1915213808000;612;648.414;62;0x0
0;1;1927354988000;574;608.153;55;0x0
0;1;2032841532000;116;122.902;26;0x0
0;1;2073298436000;518;548.821;55;0x0
0;1;2093005376000;485;513.858;57;0x0
0;1;2148699292000;73;77.3435;16;0x0
0;1;2158829208000;345;365.528;37;0x0
0;0;2158829212000;458;321.122;49;0x0
0;0;2190376988000;43;30.149;17;0x0
0;0;2309856280000;437;306.398;43;0x0
0;0;2463344216000;123;86.2402;16;0x0
0;0;2485441432000;160;112.182;23;0x0
0;0;2506241776000;170;119.194;22;0x0
0;0;2527584216000;73;51.1832;13;0x0
0;0;2535889372000;66;46.2752;11;0x0
0;0;2548534732000;155;108.677;21;0x0
0;0;2698181056000;629;441.017;48;0x0
0;1;2190376916000;448;474.656;55;0x0
0;1;2309856344000;71;75.2245;23;0x0
0;1;2463344204000;564;597.558;59;0x0
0;1;2485441452000;80;84.76;19;0x0
0;1;2506241764000;527;558.357;47;0x0
0;1;2527584208000;227;240.507;29;0x0
0;1;2535889352000;158;167.401;20;0x0
0;1;2548534720000;569;602.856;45;0x0
0;1;2698181032000;18;19.071;10;0x0
0;1;2719483316000;163;172.699;24;0x0
0;0;2719483312000;208;145.837;23;0x0
0;0;2839080184000;270;189.308;31;0x0
0;0;2887614700000;79;55.3901;15;0x0
0;0;2900252728000;142;99.5619;20;0x0
0;0;2912071788000;143;100.263;17;0x0
0;0;2914590232000;264;185.101;33;0x0
0;0;2924265644000;267;187.204;28;0x0
0;0;3013072832000;371;260.123;36;0x0
0;0;3069875648000;50;35.057;8;0x0
0;0;3157401308000;153;107.274;21;0x0
0;1;2839080184000;344;364.468;40;0x0
0;1;2887614680000;615;651.593;52;0x0
0;1;2900252716000;530;561.535;46;0x0
0;1;2912071792000;215;227.793;32;0x0
0;1;2914590228000;379;401.551;42;0x0
0;1;2924265648000;190;201.305;24;0x0
0;1;3013072832000;362;383.539;46;0x0
0;1;3069875624000;599;634.641;54;0x0
0;1;3157401296000;546;578.487;53;0x0
0;1;3261678708000;196;207.662;26;0x0
0;0;3261678696000;347;243.296;34;0x0
0;0;3366249664000;67;46.9764;12;0x0
0;0;3454586948000;276;193.515;30;0x0
0;0;3582043780000;350;245.399;31;0x0
