# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	1.00	23033880000.00	613.00	649.47	60.00	nan	0.00	0.00	23033892000.00	107.00	75.02	18.00	nan
0.00	0.00	77258948000.00	455.00	319.02	48.00	nan	0.00	1.00	77258948000.00	592.00	627.22	69.00	nan
0.00	0.00	77259472000.00	51.00	35.76	22.00	nan	0.00	1.00	77259472000.00	104.00	110.19	43.00	nan
0.00	1.00	299792176000.00	311.00	329.50	40.00	nan	0.00	0.00	299792180000.00	175.00	122.70	22.00	nan
0.00	1.00	487178096000.00	217.00	229.91	22.00	nan	0.00	0.00	487178108000.00	82.00	57.49	12.00	nan
0.00	0.00	503244896000.00	1800.00	1262.05	125.00	nan	0.00	1.00	503244920000.00	177.00	187.53	25.00	nan
0.00	0.00	681646404000.00	363.00	254.51	33.00	nan	0.00	1.00	681646404000.00	311.00	329.50	35.00	nan
0.00	0.00	717476512000.00	176.00	123.40	21.00	nan	0.00	1.00	717476520000.00	229.00	242.63	36.00	nan
0.00	1.00	804540200000.00	557.00	590.14	55.00	nan	0.00	0.00	804540204000.00	243.00	170.38	30.00	nan
0.00	0.00	872614820000.00	431.00	302.19	41.00	nan	0.00	1.00	872614828000.00	164.00	173.76	25.00	nan
0.00	1.00	972036284000.00	262.00	277.59	29.00	nan	0.00	0.00	972036356000.00	51.00	35.76	16.00	nan
0.00	0.00	1091678120000.00	559.00	391.94	51.00	nan	0.00	1.00	1091678132000.00	161.00	170.58	26.00	nan
0.00	1.00	1117879696000.00	592.00	627.22	62.00	nan	0.00	0.00	1117879704000.00	107.00	75.02	16.00	nan
0.00	1.00	1176226504000.00	558.00	591.20	58.00	nan	0.00	0.00	1176226512000.00	153.00	107.27	18.00	nan
0.00	1.00	1323487708000.00	597.00	632.52	58.00	nan	0.00	0.00	1323487724000.00	118.00	82.73	18.00	nan
0.00	0.00	1382689236000.00	459.00	321.82	40.00	nan	0.00	1.00	1382689248000.00	178.00	188.59	27.00	nan
